id,url,event_text,title
6,https://nuvoair.com/blog/nuvoair-series-a-funding-reaches-$25m-to-expand-patient-centric-care-and-clinical-trials-platform,"Boston, MA - NuvoAir, a leading digital healthcare company working in chronic disease management, raised $11M in a latest round of financing. The investment was led by Hikma Pharmaceuticals’ venture capital arm, Hikma Ventures, and is an extension of the Series A round, previously announced in June 2021. Additional participation from a new strategic investor and existing investors brings the total Series A round to $25 million.",NuvoAir Raises $25M for Patient Care  and Clinical Trials | NuvoAir
9,https://calcivis.com/calcivis-completes-4-5-million-fund-raising/,"Edinburgh, September 4th 2019 – CALCIVIS®, a medical devices company focused on revolutionising the management of tooth decay and enabling preventive dentistry, announces it has closed the final part of a £4.5 million equity funding round led by Edinburgh based business angel investment syndicate, Archangels, and supported by the Scottish Investment Bank.

The proceeds will be used to support the Company’s development as it anticipates Pre-Market Approval (PMA) of the CALCIVIS® Imaging System from FDA in the US, providing access to the world’s largest dentistry market. The Company is planning the launch of the CALCIVIS® imaging system in the US, once the PMA has been approved.",CALCIVIS Completes £4.5 million Fund Raising - Calcivis
10,https://www.phocuswire.com/spotta-bed-bug-tech-funding,"Spotta, a specialist in pest control technology, has raised $1.18 million in seed funding.

Investment in the Cambridge, U.K.-based company came from Cambridge Angels and REMUS. Marlet Capital, Wren Capital and the Angel CoFund were also involved in the round.

Spotta offers its pest control services across a number of verticals including farming, forestry and hospitality.

It’s Bed Pod product monitors bed bugs in hotels and other multi-room accommodation.","
	Spotta nets $1.2M to bring its hotel pest control tech to new markets | PhocusWire
"
12,https://techcrunch.com/2021/02/17/low-code-focused-outsystems-raises-150m-at-a-9-5b-valuation/,"This morning, OutSystems, a low-code app development service, announced that it has closed $150 million in new capital. The round was led by Abdiel Capital and Tiger Global. Notably this is not the largest funding event that the Portugal and U.S.-based software company has raised. TechCrunch covered a $360 million round that OutSystems raised in 2018.

OutSystems was founded in 2001, making it older than most companies that we cover on TechCrunch, and yet it remains privately held. And like many startups, it appears to have caught a tailwind from the accelerating digital transformation of companies both large and small.",Low-code focused OutSystems raises $150M at a $9.5B valuation
30,https://www.amadeuscapital.com/tobii-raises-sek400m-usd46m-in-nasdaq-stockholm-ipo/,"24th April 2015

Amadeus portfolio company, Tobii, has raised SEK 400m ($46m), before exercise of the over-allotment option, in a heavily over-subscribed initial public offering of mostly new shares on the NASDAQ Stockholm Exchange, capitalising the company at SEK 2.1bn ($242m). Amadeus has not sold shares in the Offering, which was priced at SEK 25, the top of the SEK 22-25 price range.",Tobii Raises SEK 400m ($46m) in NASDAQ Stockholm IPO -
50,https://www.buildingbetterhealthcare.com/news/article_page/navenio_lands_innovate_uk_investment_to_improve_hospital_patient_care/166102,"Navenio, a healthcare scale-up whose location-based technology has been proven to double the throughput of hospital teams, has received £50,000 from the UK government and Innovate UK as part of a fund to help cutting-edge companies.

A spin-out of Oxford University, Navenio provides infrastructure-free indoor location solutions, the equivalent of GPS for use indoors, to power a range of apps and platforms in sectors including healthcare.",Navenio lands Innovate UK investment to improve hospital patient care
53,https://www.med-technews.com/news/gps-for-indoors-given-50k-innovate-uk-grant-to-power-health/,"Navenio, the healthcare scale-up whose location-based technology has been shown to double the throughput of hospital teams, has received around £50,000 from the UK government and Innovate UK.

The Oxford University spin-out provides infrastructure-free indoor location solutions, the equivalent of GPS for use indoors, to power a range of apps and platforms in sectors including healthcare.

Hospitals use Navenio’s AI-led ‘Intelligent Workforce Solution’ (IWS) to assign tasks to healthcare teams based on their location. This helps prioritise workload in real-time on the basis of ‘right person, right time, right place,’ with a system that uses smartphones.",'GPS for indoors' given £50k Innovate UK grant to power health apps and platforms - Med-Tech Innovation
55,https://www.fleetnews.co.uk/news/fleet-industry-news/2017/12/21/nexus-vehicle-rental-raises-more-than-12-000-for-charity?utm_source=dlvr.it&utm_medium=twitter,"Leeds-based Nexus Vehicle Rental has raised more than £12,000 for St Gemma’s Hospice in its first year of fund-raising.

Nexus’ partnership with St Gemma’s Hospice, Yorkshire’s largest hospice, was established in January this year, with a further 12 months of fundraising pledged by the rental firm.

St Gemma’s was chosen as Nexus’ charity partner by its employees, following a previous partnership with the Yorkshire Air Ambulance.","Nexus Vehicle Rental raises more than £12,000 for charity | Fleet industry"
74,https://www.genomeweb.com/molecular-diagnostics/biocartis-raises-80-million-equity-placement,"This article has been updated with additional information from Biocartis.

NEW YORK (GenomeWeb) – Biocartis announced today that it has raised €80 million ($94.7 million) through a private placement via an accelerated bookbuild offering of 6.4 million new shares.

The firm said it sold the shares at an issue price of €12.50 each, and that the total 6.4 million shares represent approximately 14.3 percent of its outstanding shares.",Biocartis Raises €80 Million in Equity Placement | GenomeWeb
76,https://www.telegraph.co.uk/technology/2017/03/25/launch-pad-start-ups-social-purpose-raises-13m/,"An accelerator for start-ups with a social purpose has raised £1.3m to expand its programme and create a larger fund for early stage businesses.

Bethnal Green Ventures, whose programme develops technology companies looking to solve a social problem at the same time as making a profit, has secured the investment from Big Society Capital, Nominet Trust and Nesta.

In its fifth year, the London-based accelerator will use the cash to bring more start-ups on to its programme and provide follow-up capital to its most promising graduates. The round marks the first time that Big Society Capital, an investor in charities and social enterprises, has backed an accelerator. It brings the organisation’s total funding to date to almost £3m.",Launch pad for start-ups with a social purpose raises £1.3m 
84,https://cheddar.com/media/marqeta-raises-million-in-funds-increases-value-to-billion,"Marqeta, an Oakland-based payments startup, has raised over $150 million in funding from a single investor. The company is now valued at $4.3 billion, more than double the company's worth from a year ago.  Marqeta is coming off the best two months in the history of the company, deeply embedded in the On Demand economy. Jason Gardner, Founder and CEO of Marqeta, explains how his company has succeeded during the crisis and what his plans are in regards to going public.","Marqeta Raises $150 Million in Funds, Increases Value to $4.3 Billion"
85,https://apnews.com/business%20wire/1505865eea44464fab0f1413c0c28584,"Marqeta, the leading global modern card issuing platform, announced today it has completed a $260 million Series E fundraise, led by Coatue Management. This new funding values Marqeta at nearly $2 billion and solidifies the company’s place on the frontlines of the financial technology revolution, as the creator of the rapidly expanding modern card issuing market. It will use the round to accelerate its expansion plans, both domestically and in key global markets.","Marqeta Completes $260 Million Series E Fundraise, as Its Modern Card Issuing Platform Takes on Global Scale | AP News"
99,https://www.ciobulletin.com/healthcare/carrum-health-series-a-round,"San Francisco-based Carrum Health has announced that it has raised $40 million in its Series A funding round. The round was led by Tiger Global Management LLC, with participation from GreatPoint Ventures and Cross Creek and return investors Wildcat Venture Partners and SpringRock Ventures.

Carrum Health was founded in 2014 with the aim of bringing common sense to the healthcare system that is affected by many issues and rising costs. Led by Sach Jain, Carrum Health provides a surgery benefits platform that connects self-insured employers with top providers under standardized bundled payment arrangements to manage healthcare costs. This platform is connected to the Carrum Health mobile app, which provides patients with the tools to manage their own health by guiding them through all aspects of their care journey.",Carrum Health Secures $40M in Series A Funding
109,https://www.business-live.co.uk/technology/birmingham-biomedical-firm-adapttech-secures-20278132,"Biomedical startup Adapttech has raised £2 million in a new venture capital funding.

The company, which is based at the Institute of Translational Medicine in Edgbaston, will use the new finance for product developments and to drive sales of its 'Insight' system which it says makes it easier to fit lower-limb prostheses and monitor rehabilitation.

The system combines a 3D scanner, sensors, wearable technology and a mobile app to make it faster and easier to reach a comfortably fitting prostheses socket.",Birmingham biomedical firm Adapttech secures £2m funding round - Business Live
