id,url,event_text,title
783,https://www.prnewswire.com/ae/news-releases/crossfund-raises-additional-1-5m-in-funding-at-a-47m-valuation-establishes-itself-as-leading-investment-gateway-to-the-emerging-world-301949464.html,"SINGAPORE, Oct. 9, 2023 /PRNewswire/ -- Fintech startup, CrossFund, has raised its fourth funding round in two years from family offices in MENA and Asia, BlockBase Ventures, UI Investments, Australian Gulf Capital, BXB Capital, and strategic angels. Founded in 2021 by Ben Cardarelli and Davide Cali, the company has quickly become the equity financing tool of choice for startups in SEA and EMEA with over $40M raised across 80 investments, 15,000 accredited investors, and its first exit to a NASDAQ-listed company. It has also become recognized as a platform for governments to foster innovation and attract FDI through hi-tech startups.",CrossFund Raises Additional $1.5M in Funding at a $47M Valuation ...
789,https://inc42.com/buzz/vendor-digitisation-startup-bizongo-inches-closer-to-unicorn-valuation-raises-50-mn-funding/,"B2B vendor management startup Bizongo raised nearly $50 Mn (INR 416.1 Cr) in a Series E funding round led by Zurich-based private equity firm Schroder Adveq. In addition, International Finance Corp, Chiratae Ventures, B Capital, and British International Investment also participated in the funding round.

Bizongo reached a valuation of $980 Mn with this funding round, marking a 63% increase compared to the previous round in August 2022, cofounder and CEO Sachin Agrawal told ET.",Vendor Digitisation Startup Bizongo Inches Closer To Unicorn Valuation
790,https://thefederal.com/category/business/reports/top-deals-of-sept-22-28-quick-service-restaurant-third-wave-coffee-raises-35-m-97257,"Heisetasse Beverages, which runs coffee quick-service restaurant (QSR) Third Wave Coffee, has raised g $35 million in Series C funding from Creaegis, Westbridge Capital Partners, and Udaan founder Sujeet Kumar, according to data from PrivateCircle Research. The Bengaluru-based startup will use the funds to expand, scale up supply chain and develop its technology stack. It operates about 100 outlets across cities including Mumbai, Delhi, Pune and Hyderabad.",Top deals of Sept 22-28: Quick service restaurant Third Wave Coffee raises $35 m
791,https://entrackr.com/2023/09/agritech-firm-ergos-secures-10-mn-in-series-b-funding/,"Agritech platform Ergos has raised $10 million in a Series B round led by Abler Nordic, a Norway based financial inclusion fund focused on African and Asian markets. The company’s existing investors, Aavishkaar Capital, Chiratae Ventures and Trifecta Venture also poured in some capital.

Ergos has raised the funds in a mix of equity and debt funding, the company said in a press release.",Agritech firm Ergos secures $10 Mn in Series B funding
793,https://entrackr.com/2023/10/tiger-global-funded-bizongo-raises-50-mn-in-series-e/,"E-commerce focused packaging company Bizongo has raised $50 million in a Series E funding round led by existing investor Schroder Adveq. The fresh funding has come after a gap of more than one year for the Mumbai-based startup.

International Finance Corp, Chiratae Ventures, B Capital and British International Investment also participated in the round.

According to an ET report, it has raised the fresh round at a valuation of $980 million. The startup, which is close to unicorn valuation, has raised $260 million to date.",Tiger Global-funded Bizongo raises $50 Mn in Series E
795,https://www.dealstreetasia.com/stories/insurancedekho-raises-funding-366324,"Automobile marketplace unicorn CarDekho’s insurance arm InsuranceDekho, on Wednesday, said it has raised $60 million in a mix of debt and equity at a valuation of over $600 million in its Series B funding, nearly eight months after raising $150 million in its previous funding round.

Japan’s Mitsubishi UFJ Financial Group (MUFG), BNP Paribas Cardif, through its insurtech fund managed by European investment major Eurazeo, India-focused Beams Fintech Fund and Yogesh Mahansaria Family Office came on board as new investors in the latest round.",InsuranceDekho raises $60m Series B at over $600m valuation
796,https://www.pymnts.com/news/investment-tracker/2021/bizongo-valued-at-600m-after-110m-series-d-fundraising-round/,"SmartPaddle Technology Pvt. Ltd, which owns and operates packaging materials platform Bizongo, has raised ₹825 crore ($110 million) through its recent Series D fundraising round, according to regulatory filings, Mint reported Monday (Dec. 6), putting its value at ₹4,500 crore ($600 million).

SmartPaddle has brought in about $187 million in investment funding since its inception in 2015. The company sells boxes, containers, pouches and bags for food and hospitality, consumer goods and retail businesses. It has warehouses in Mumbai, Bengaluru, and Delhi and counts BigBasket, Nykaa, Swiggy, Delhivery, Teabox and Tata Cliq among its clients.",Bizongo Valued at $600M After $110M Series D Fundraising Round
798,https://fintech.global/2022/08/04/bizongo-lands-25m-to-ease-supply-chain-pinpoints-in-india/,"Bizongo, a tech-enabled B2B platform based in India, has reportedly raised $25m in funding led by Israeli VC Liquidity Group.

Many thought that the supply chain challenges brought about by the pandemic would ease once we returned to ‘normal, but this has not been the case, Tech Funding News said.

Founded in 2015 and headquartered in Mumbai, Bizongo aims to solve these problems.",Bizongo lands $25m to ease supply chain pinpoints in India
799,https://techcrunch.com/2015/01/26/dojo-funding/,"Dojo, an app that curates “cool” places to eat, drink and visit in London, has raised an £800,000 seed round to help it scale up. This will include the imminent roll out of version 2 of the app, powered by a completely new backend that will enable Dojo to plug into a new city “in a matter of weeks,” says co-founder Robin Shimmin, setting up the company to expand to several new cities internationally over the next year.",Dojo Raises £800K To Scale Up Its Curated Guide To London
802,https://www.uktech.news/news/69546-20180605,"Investors in the round included Voulez Capital (lead investor), Firestartr and the London Co-Investment Fund (LCIF).

Jo Osborne, the founder and CEO of Sciapps, decided to build the app following her own battle with skin cancer.

She said: “Sciapps is built on the foundation that no matter what someone’s budget, we all have a right to evidence and research which may impact our choices in what we apply to our skin.",SkinNinja raises $1m to bring transparency to the skincare industry
804,https://www.foodbev.com/news/lucky-saint-raises-over-10m-in-series-a-funding-round/,"UK-based alcohol-free beer brand, Lucky Saint, has secured over £10 million in a Series A funding round led by venture capital companies Beringea and JamJar Investments.

Other participants included Warburtons chairman, Jonathan Warburton, and Wahaca CEO and co-founder, Mark Selby, among others.

According to Lucky Saint, the round marks the first time in Europe that an alcohol-free beer brand has raised such a large amount.

The investment will strengthen Lucky Saint’s position as the UK’s largest independent alcohol-free beer, accelerating the distribution of its draught offering and initiating the company’s planned expansion into other parts of Europe, as well as growing its team.",Lucky Saint raises over £10m in Series A funding round
810,https://www.privateequitywire.co.uk/wagestream-completes-gbp20m-funding-round/,"Income streaming provider, Wagestream, which enables employees to access their earned wages in real time, today announced it has completed a GBP20 million Series B funding round.This latest investment — which takes the total raised to GBP65 million — will be used to consolidate the company’s dominant market share in the UK and to fund its international expansion.

Early-stage venture capital specialist Northzone is leading the funding round with participation from QED Investors, Latitude Ventures and Balderton Capital.",Wagestream completes GBP20m funding round - Private Equity News
811,https://tech.eu/2023/05/16/seedcamps-sixth-session-secures-180-million/,"London-based VC firm Seedcamp has announced the close of its sixth fund at $180 million. The hexa-iteration will continue to bear Seedcamp’s signature early-stage, pan-European, sector-agnostic torch, and allow the fund to lead rounds ranging from angel and seed rounds with ticket sizes up to $1 million, as well as reserving a portion for follow on rounds up to Series B.",Seedcamp's sixth session secures $180 million
820,https://www.thegrocer.co.uk/fundraising/grounded-closes-seed-round-to-fund-plant-based-protein-shakes/674485.article,"Plant-based protein drinks challenger brand Grounded has closed an oversubscribed seed funding round to fuel its next stage of growth, including a nationwide expansion.

Launched in 2020, the brand quickly picked up listings in premium retailers such as Selfridges and Planet Organic, as well as in the Soho House estate and gym groups across London, including Virgin Active and Gym Box.

Grounded has since expanded distribution with online listings at Ocado and Holland & Barrett and plans to use money raised in the funding round to “turbo-rocket retail growth” across the country’s grocery and fitness space.",Grounded closes seed round to fund plant-based protein shakes
